z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.4,0.04,0.3125,0.0625,0.5,0.1,11590.413,139.931,139.931,227
0.4,0.04,0.3125,0.0625,0.7,0.1,11557.2155,139.4223,139.4223,228
0.4,0.04,0.3125,0.0625,0.9,0.1,11518.5362,139.4069,139.4069,229
0.4,0.04,0.4375,0.0625,-0.9,0.1,11767.3372,139.5108,139.5108,230
0.4,0.04,0.4375,0.0625,-0.7,0.1,11598.1194,140.7171,140.7171,231
0.4,0.04,0.4375,0.0625,-0.5,0.1,11864.1366,142.2754,142.2754,232
0.4,0.04,0.4375,0.0625,-0.3,0.1,11974.8433,143.2869,143.2869,233
0.4,0.04,0.4375,0.0625,-0.1,0.1,12270.8766,144.9807,144.9807,234
0.4,0.04,0.4375,0.0625,0.1,0.1,12013.9283,142.9572,142.9572,235
0.4,0.04,0.4375,0.0625,0.3,0.1,12049.3607,143.2348,143.2348,236
0.4,0.04,0.4375,0.0625,0.5,0.1,12145.5023,142.6686,142.6686,237
0.4,0.04,0.4375,0.0625,0.7,0.1,11768.8049,140.5541,140.5541,238
0.4,0.04,0.4375,0.0625,0.9,0.1,10886.4778,136.1964,136.1964,239
0.4,0.04,0.5806,0.0806,-0.9,0.1,11374.8637,139.7192,139.7192,240
0.4,0.04,0.5806,0.0806,-0.7,0.1,11995.9008,142.9845,142.9845,241
0.4,0.04,0.5806,0.0806,-0.5,0.1,12795.9998,145.8828,145.8828,242
0.4,0.04,0.5806,0.0806,-0.3,0.1,12770.5838,148.0397,148.0397,243
0.4,0.04,0.5806,0.0806,-0.1,0.1,12755.0262,146.7456,146.7456,244
0.4,0.04,0.5806,0.0806,0.1,0.1,12324.0135,145.7459,145.7459,245
0.4,0.04,0.5806,0.0806,0.3,0.1,12102.0015,144.3691,144.3691,246
0.4,0.04,0.5806,0.0806,0.5,0.1,12089.6828,143.6301,143.6301,247
0.4,0.04,0.5806,0.0806,0.7,0.1,11825.8395,141.4363,141.4363,248
0.4,0.04,0.5806,0.0806,0.9,0.1,11354.8365,137.7782,137.7782,249
0.4,0.04,0.765,0.1038,-0.9,0.1,8382.6927,121.4304,121.4304,250
0.4,0.04,0.765,0.1038,-0.7,0.1,8741.2022,122.8988,122.8988,251
0.4,0.04,0.765,0.1038,-0.5,0.1,8780.2105,123.5929,123.5929,252
0.4,0.04,0.765,0.1038,-0.3,0.1,9305.4686,126.489,126.489,253
0.4,0.04,0.765,0.1038,-0.1,0.1,9283.7024,126.4953,126.4953,254
0.4,0.04,0.765,0.1038,0.1,0.1,9202.8982,125.7019,125.7019,255
0.4,0.04,0.765,0.1038,0.3,0.1,9283.391,125.995,125.995,256
0.4,0.04,0.765,0.1038,0.5,0.1,9001.6637,123.7655,123.7655,257
0.4,0.04,0.765,0.1038,0.7,0.1,8440.4544,121.1113,121.1113,258
0.4,0.04,0.765,0.1038,0.9,0.1,8353.7251,119.2621,119.2621,259
0.4,0.04,1.0027,0.1339,-0.9,0.1,4712.8637,90.3576,90.3576,260
0.4,0.04,1.0027,0.1339,-0.7,0.1,4506.7505,89.5468,89.5468,261
0.4,0.04,1.0027,0.1339,-0.5,0.1,4778.0171,90.9934,90.9934,262
0.4,0.04,1.0027,0.1339,-0.3,0.1,4790.0554,90.8935,90.8935,263
0.4,0.04,1.0027,0.1339,-0.1,0.1,4430.668,89.6233,89.6233,264
0.4,0.04,1.0027,0.1339,0.1,0.1,4532.6845,89.8701,89.8701,265
0.4,0.04,1.0027,0.1339,0.3,0.1,4550.0965,89.6271,89.6271,266
0.4,0.04,1.0027,0.1339,0.5,0.1,4775.3841,90.5497,90.5497,267
0.4,0.04,1.0027,0.1339,0.7,0.1,4668.4366,89.9748,89.9748,268
0.4,0.04,1.0027,0.1339,0.9,0.1,4534.6032,88.464,88.464,269
0.4,0.04,1.3092,0.1725,-0.9,0.1,2061.9363,59.5508,59.5508,270
0.4,0.04,1.3092,0.1725,-0.7,0.1,2339.1038,62.7716,62.7716,271
